Registration Number,Registration Via,Card Number,STID Number,Plat Number,Company,Date Active,Date Expired,Date Request,Date Submit,Date Approval
REQ22SUB00522,APTRINDO,0000001794229837,CA4000335,L9526US,PT SURYA BUANA SENTOSA,2022-9-6,2024-9-6,2022-9-5,2022-9-5,2022-9-6
REQ22SUB00523,APTRINDO,0000001789569597,CA4000334,L9470UQ,PT SURYA BUANA SENTOSA,2022-9-6,2024-9-6,2022-9-5,2022-9-5,2022-9-6
REQ22SUB00524,APTRINDO,0000003488474938,CA4000333,L9016UQ,PT SURYA BUANA SENTOSA,2022-9-6,2024-9-6,2022-9-5,2022-9-5,2022-9-6
REQ22SUB00525,APTRINDO,0000001789725533,CA4000332,L8402UF,PT SURYA BUANA SENTOSA,2022-9-6,2024-9-6,2022-9-5,2022-9-5,2022-9-6
REQ22SUB00526,APTRINDO,0000001813717917,CA4000331,L9512UA,PT SURYA BUANA SENTOSA,2022-9-6,2024-9-6,2022-9-5,2022-9-6,2022-9-6
REQ22SUB00527,APTRINDO,0000001810753757,CA4000330,L8676UC,PT SURYA BUANA SENTOSA,2022-9-6,2024-9-6,2022-9-5,2022-9-6,2022-9-6
REQ22SUB00528,APTRINDO,0000001792281085,CA4000329,L9985US,PT SURYA BUANA SENTOSA,2022-9-6,2024-9-6,2022-9-5,2022-9-6,2022-9-6
REQ22SUB00529,APTRINDO,0000001811361437,CA4000327,L9514UC,PT SURYA BUANA SENTOSA,2022-9-6,2024-9-6,2022-9-5,2022-9-6,2022-9-6
REQ22SUB00530,APTRINDO,0000001808980973,CA4000391,B9454UEH,PT. DITHSYA TRANS LOGISTIK,2022-9-13,2024-9-13,2022-9-5,2022-9-5,2022-9-7
REQ22SUB00531,APTRINDO,0000001808890141,CA4000357,L8544UD,PT. DITHSYA TRANS LOGISTIK,2022-9-13,2024-9-13,2022-9-5,2022-9-5,2022-9-6
REQ22SUB00532,ORGANDA,,CA4000529,W9531UC,PT. DEPO JANGKAR PASIFIK,,,2022-9-5,2022-9-8,2022-9-8
REQ22SUB00533,ORGANDA,,CA4000530,W9858UL,PT. DEPO JANGKAR PASIFIK,,,2022-9-5,2022-9-8,2022-9-8
REQ22SUB00534,ORGANDA,,CA4000531,W9353UL,PT. DEPO JANGKAR PASIFIK,,,2022-9-5,2022-9-8,2022-9-8
REQ22SUB00535,ORGANDA,,CA4000532,W9359UL,PT. DEPO JANGKAR PASIFIK,,,2022-9-5,2022-9-8,2022-9-8
REQ22SUB00536,ORGANDA,,CA4000550,W9460UL,PT. DEPO JANGKAR PASIFIK,,,2022-9-5,2022-9-8,2022-9-9
REQ22SUB00537,ORGANDA,,CA4000552,W9534UC,PT. DEPO JANGKAR PASIFIK,,,2022-9-5,2022-9-8,2022-9-9
REQ22SUB00538,ORGANDA,,CA4000553,W9513UD,PT. DEPO JANGKAR PASIFIK,,,2022-9-5,2022-9-8,2022-9-9
REQ22SUB00539,MANDIRI,,,B9708UO,PT TRITUNGGAL LOGISTIK CEPAT,,,2022-9-5,2022-9-20,
REQ22SUB00540,MANDIRI,0000001809229629,CA4000313,L8506UZ,PT TRITUNGGAL LOGISTIK CEPAT,2022-9-6,2024-9-6,2022-9-5,2022-9-5,2022-9-5
REQ22SUB00541,ORGANDA,,CA4000554,W9512UD,PT. DEPO JANGKAR PASIFIK,,,2022-9-5,2022-9-8,2022-9-9
REQ22SUB00542,MANDIRI,0000001809537677,CA4000312,L9201UM,PT TRITUNGGAL LOGISTIK CEPAT,2022-9-6,2024-9-6,2022-9-5,2022-9-5,2022-9-5
REQ22SUB00543,MANDIRI,0000001809531069,CA4000311,W9417UP,PT TRITUNGGAL LOGISTIK CEPAT,2022-9-6,2024-9-6,2022-9-5,2022-9-5,2022-9-5
REQ22SUB00544,MANDIRI,0000001809938509,CA4000310,L9980UA,PT TRITUNGGAL LOGISTIK CEPAT,2022-9-6,2024-9-6,2022-9-5,2022-9-5,2022-9-5
REQ22SUB00545,MANDIRI,0000001688694157,CA4000355,L8283UC,PT. SUMBER REJEKI PUTRA,2022-9-7,2024-9-7,2022-9-5,2022-9-5,2022-9-6
REQ22SUB00546,MANDIRI,0000001688112381,CA4000354,B9046BEI,PT. SUMBER REJEKI PUTRA,2022-9-7,2024-9-7,2022-9-5,2022-9-5,2022-9-6
REQ22SUB00547,MANDIRI,0000001809617741,CA4000314,B9128FEI,PT TRITUNGGAL LOGISTIK CEPAT,2022-9-6,2024-9-6,2022-9-5,2022-9-5,2022-9-5
REQ22SUB00548,MANDIRI,0000001690042781,CA4000353,L8661UD,PT. SUMBER REJEKI PUTRA,2022-9-7,2024-9-7,2022-9-5,2022-9-5,2022-9-6
REQ22SUB00549,APTRINDO,0000001690129997,CA4000392,L9335UZ,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00550,MANDIRI,0000001808450141,CA4000394,B9215UIX,PT CAHAYA SEKAR CARGO,2022-9-12,2024-9-12,2022-9-6,2022-9-6,2022-9-7
REQ22SUB00551,APTRINDO,0000001809365437,CA4000403,L8070UO,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00552,MANDIRI,0000001808859677,CA4000395,B9216UIX,PT CAHAYA SEKAR CARGO,2022-9-12,2024-9-12,2022-9-6,2022-9-6,2022-9-7
REQ22SUB00553,APTRINDO,0000001809291533,CA4000412,L9513UP,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00554,APTRINDO,0000001809672589,CA4000431,L9331UZ,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00555,APTRINDO,0000001807784365,CA4000430,L8069UA,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00556,APTRINDO,0000001690048221,CA4000429,L8202UJ,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00557,APTRINDO,0000001706292333,CA4000425,L9266UY,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00558,APTRINDO,0000001688448237,CA4000421,L8607UY,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00559,APTRINDO,0000001807686109,CA4000417,L9343UW,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00560,MANDIRI,0000001688691469,CA4000396,B9196UIX,PT CAHAYA SEKAR CARGO,2022-9-12,2024-9-12,2022-9-6,2022-9-6,2022-9-7
REQ22SUB00561,APTRINDO,,CA4001378,L9927UA,PT. BINTANG INDONESIA GEMPITA TRANS,,,2022-9-6,2022-9-17,2022-9-18
REQ22SUB00562,APTRINDO,0000001705708909,CA4000399,L9057UP,PT. BINTANG INDONESIA GEMPITA TRANS,2022-9-8,2024-9-8,2022-9-6,2022-9-6,2022-9-7
REQ22SUB00563,APTRINDO,0000001690193149,CA4000401,L9849UO,PT. BINTANG INDONESIA GEMPITA TRANS,2022-9-8,2024-9-8,2022-9-6,2022-9-6,2022-9-7
REQ22SUB00564,APTRINDO,0000001690183949,CA4000404,L9043UA,PT. BINTANG INDONESIA GEMPITA TRANS,2022-9-8,2024-9-8,2022-9-6,2022-9-6,2022-9-7
REQ22SUB00565,APTRINDO,0000001689123181,CA4000411,L9884UO,PT. BINTANG INDONESIA GEMPITA TRANS,2022-9-8,2024-9-8,2022-9-6,2022-9-6,2022-9-7
REQ22SUB00566,APTRINDO,0000001688936269,CA4000415,S8783UT,PT. BINTANG INDONESIA GEMPITA TRANS,2022-9-8,2024-9-8,2022-9-6,2022-9-6,2022-9-7
REQ22SUB00476,MANDIRI,0000001690363421,CA4000390,L9338UO,PT GUNA LINTAS SARANA,2022-9-7,2024-9-7,2022-9-3,2022-9-7,2022-9-7
REQ22SUB00567,MANDIRI,0000001688414397,CA4000418,L9182UK,PT GUNA LINTAS SARANA,2022-9-7,2024-9-7,2022-9-6,2022-9-6,2022-9-7
REQ22SUB00568,MANDIRI,0000001689387309,CA4000420,L8030UQ,PT GUNA LINTAS SARANA,2022-9-7,2024-9-7,2022-9-6,2022-9-6,2022-9-7
REQ22SUB00569,MANDIRI,0000001688628669,CA4000419,L9903UE,PT GUNA LINTAS SARANA,2022-9-7,2024-9-7,2022-9-6,2022-9-6,2022-9-7
REQ22SUB00570,ORGANDA,,CA4000549,W8417UD,PT. DEPO JANGKAR PASIFIK,,,2022-9-6,2022-9-8,2022-9-9
REQ22SUB00571,ORGANDA,,CA4000565,W8418UD,PT. DEPO JANGKAR PASIFIK,,,2022-9-6,2022-9-8,2022-9-9
REQ22SUB00572,ORGANDA,,CA4000566,W9258UD,PT. DEPO JANGKAR PASIFIK,,,2022-9-6,2022-9-8,2022-9-9
REQ22SUB00573,APTRINDO,0000001689846189,CA4000387,L8723UQ,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00574,ORGANDA,,CA4000567,W9259UD,PT. DEPO JANGKAR PASIFIK,,,2022-9-6,2022-9-8,2022-9-9
REQ22SUB00575,ORGANDA,,CA4000569,L9978UB,PT. DEPO JANGKAR PASIFIK,,,2022-9-6,2022-9-8,2022-9-9
REQ22SUB00576,APTRINDO,0000001808440141,CA4000389,L9984UI,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00577,ORGANDA,,CA4000568,L9982UB,PT. DEPO JANGKAR PASIFIK,,,2022-9-6,2022-9-8,2022-9-9
REQ22SUB00578,APTRINDO,0000001690163805,CA4000388,L8391UP,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00579,ORGANDA,,CA4000570,L8336UD,PT. DEPO JANGKAR PASIFIK,,,2022-9-6,2022-9-8,2022-9-9
REQ22SUB00580,MANDIRI,0000001790603261,CA4000438,L8024UJ,PT. HERCULES EKSPRES INTERNASIONAL,2022-9-8,2024-9-8,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00581,ORGANDA,,CA4000533,L8679UD,PT. DEPO JANGKAR PASIFIK,,,2022-9-6,2022-9-8,2022-9-8
REQ22SUB00582,MANDIRI,0000001689550205,CA4000434,B9720JU,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00583,MANDIRI,0000001689055053,CA4000439,B9027UEI,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00584,MANDIRI,0000001689498573,CA4000440,B9202RJ,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00585,MANDIRI,0000001270625961,CA4001375,B9218JR,PT SIDOLUHUR MAS GROUP,2022-9-20,2024-9-20,2022-9-6,2022-9-18,2022-9-18
REQ22SUB00586,MANDIRI,0000001689716205,CA4000442,B9234UIV,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00587,MANDIRI,0000001809064653,CA4000468,L8058UE,PT. SUMBER REJEKI PUTRA,2022-9-8,2024-9-8,2022-9-6,2022-9-6,2022-9-8
REQ22SUB00588,MANDIRI,0000001690154509,CA4000454,B9277P,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00589,MANDIRI,0000001690140989,CA4000453,B9694VO,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00590,MANDIRI,0000001688287453,CA4000443,B9771UU,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00591,MANDIRI,0000001688687181,CA4000441,B9963TJ,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-6,2022-9-7,2022-9-7
REQ22SUB00592,MANDIRI,0000001790354429,CA4000469,W9492NG,PT. SUMBER REJEKI PUTRA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00593,MANDIRI,0000001689802781,CA4000452,L8022UR,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00594,MANDIRI,0000001689983261,CA4000451,L8042UD,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00595,MANDIRI,0000001690115149,CA4000450,L8086CQ,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00596,MANDIRI,0000001688955421,CA4000380,L8138UA,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00597,MANDIRI,0000001690261981,CA4000449,L8149UW,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00598,MANDIRI,0000001809687709,CA4000448,L8240UE,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00599,MANDIRI,0000001809190525,CA4000447,L8330US,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00600,MANDIRI,0000001688305373,CA4000446,L8373US,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00601,MANDIRI,0000001688694749,CA4000445,L8422UI,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00602,MANDIRI,0000001688670797,CA4000444,L8435UF,PT SIDOLUHUR MAS GROUP,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00603,MANDIRI,0000001809265213,CA4000382,L9749GI,PT LUCKY JAYA TRANS,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00604,MANDIRI,0000001807627005,CA4000465,L8077HB,PT LUCKY JAYA TRANS,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00605,MANDIRI,0000001809205805,CA4000475,L8197UW,PT. HERCULES EKSPRES INTERNASIONAL,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00606,APTRINDO,0000001790240557,CA4000381,L8788UN,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00607,APTRINDO,0000001807923693,CA4000385,L9706UX,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00608,APTRINDO,0000001807820573,CA4000428,L8670UY,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00609,APTRINDO,0000001809293869,CA4000386,L9985UI,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00610,APTRINDO,0000001809569565,CA4000427,L8518UW,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00611,APTRINDO,0000001809460365,CA4000426,L8022UK,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00612,APTRINDO,0000001688217405,CA4000424,L8171UG,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00613,APTRINDO,0000001689600317,CA4000423,L9267UT,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00614,APTRINDO,0000001689678477,CA4000422,L8010UU,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00615,APTRINDO,0000001690116973,CA4000384,L9233UY,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00616,APTRINDO,0000001807730461,CA4000383,L8225UV,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00617,MANDIRI,0000001809315837,CA4000476,L8596UJ,PT. HERCULES EKSPRES INTERNASIONAL,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00618,APTRINDO,0000001790323149,CA4000379,L9508UA,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00619,APTRINDO,0000001807695869,CA4000378,L8420UF,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00620,APTRINDO,0000001809776973,CA4000377,L8705UN,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00621,APTRINDO,0000001808085181,CA4000376,L8170UT,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00622,APTRINDO,0000001809360717,CA4000375,L8984UR,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00623,APTRINDO,0000001688367149,CA4000374,L9343UZ,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00624,APTRINDO,0000001807632989,CA4000373,L8057UW,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00625,APTRINDO,0000001688868045,CA4000372,L9047UT,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00626,APTRINDO,0000001689267661,CA4000371,L9629UU,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00627,APTRINDO,0000001688636701,CA4000370,L8574UZ,PT SURYA BUANA SENTOSA,2022-9-7,2024-9-7,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00628,MANDIRI,0000001809410749,CA4000477,L8762UZ,PT. HERCULES EKSPRES INTERNASIONAL,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00629,APTRINDO,,CA4001656,L9821UL,PT MEGA SAMUDRA TAMA,,,2022-9-7,2022-9-20,2022-9-21
REQ22SUB00630,APTRINDO,,CA4001813,L9049UM,PT MEGA SAMUDRA TAMA,,,2022-9-7,2022-9-21,2022-9-23
REQ22SUB00631,APTRINDO,,CA4001654,L9886UE,PT MEGA SAMUDRA TAMA,,,2022-9-7,2022-9-20,2022-9-21
REQ22SUB00632,APTRINDO,,,L9890UE,PT MEGA SAMUDRA TAMA,,,2022-9-7,2022-9-21,
REQ22SUB00633,APTRINDO,,CA4001812,L9577UR,PT MEGA SAMUDRA TAMA,,,2022-9-7,2022-9-21,2022-9-23
REQ22SUB00634,MANDIRI,0000001808447805,CA4000464,B9697EJ,PT LUCKY JAYA TRANS,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00635,MANDIRI,0000001809307885,CA4000463,B9800QZ,PT LUCKY JAYA TRANS,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00636,MANDIRI,0000001808522029,CA4000462,L8021BX,PT LUCKY JAYA TRANS,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00637,MANDIRI,0000001808944189,CA4000478,L8569UJ,PT. HERCULES EKSPRES INTERNASIONAL,2022-9-12,2024-9-12,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00638,MANDIRI,0000001689686221,CA4000479,L9108UX,PT. HERCULES EKSPRES INTERNASIONAL,2022-9-12,2024-9-12,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00639,MANDIRI,0000001807673133,CA4000460,L8708UB,PT LUCKY JAYA TRANS,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00640,MANDIRI,0000001809161373,CA4000459,N8053UR,PT LUCKY JAYA TRANS,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00641,MANDIRI,0000001809236637,CA4000461,N8105UQ,PT LUCKY JAYA TRANS,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00642,MANDIRI,0000001809409981,CA4000458,N8992UQ,PT LUCKY JAYA TRANS,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00643,MANDIRI,0000001809493741,CA4000457,N9912UR,PT LUCKY JAYA TRANS,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00644,MANDIRI,0000001809346509,CA4000456,N9942UR,PT LUCKY JAYA TRANS,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00645,MANDIRI,0000001809168973,CA4000455,S8705UT,PT LUCKY JAYA TRANS,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00646,MANDIRI,0000001809363117,CA4000466,B9214UIX,PT CAHAYA SEKAR CARGO,2022-9-12,2024-9-12,2022-9-7,2022-9-7,2022-9-7
REQ22SUB00428,MANDIRI,0000001809776461,CA4000472,DK8298DG,PT PACIFIC EXPRESS CARGO,2022-9-8,2024-9-8,2022-9-2,2022-9-7,2022-9-8
REQ22SUB00648,APTRINDO,0000001807899133,CA4000471,L8535UX,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00649,MANDIRI,0000001809747693,CA4000470,L9802UI,PT. SUMBER REJEKI PUTRA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00650,APTRINDO,0000001690277501,CA4000481,L9325UY,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00651,APTRINDO,0000001689767581,CA4000480,L9167UN,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00652,APTRINDO,0000001689631469,CA4000482,L9686UX,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00653,APTRINDO,0000001807642733,CA4001003,L9240UY,PT SURYA BUANA SENTOSA,2022-9-14,2024-9-14,2022-9-7,2022-9-13,2022-9-14
REQ22SUB00654,APTRINDO,0000001688574941,CA4000483,L8511US,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00655,APTRINDO,0000001689098749,CA4000484,L9703UB,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00656,APTRINDO,0000001704742829,CA4000485,L9189UD,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00657,APTRINDO,0000001703837261,CA4000486,L9708UK,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00658,APTRINDO,0000001689726541,CA4000487,L8626UD,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00659,APTRINDO,0000001689181197,CA4000488,L9387UX,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00660,APTRINDO,0000001705817005,CA4000489,L9114UL,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00661,APTRINDO,0000001704800509,CA4000490,L9334UK,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00662,APTRINDO,0000001689471709,CA4000491,L9142UN,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00663,APTRINDO,0000001689141309,CA4000492,L9775UK,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00664,APTRINDO,0000001690299421,CA4000493,L9939UZ,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00665,APTRINDO,0000001809312909,CA4001002,L8172UD,PT SURYA BUANA SENTOSA,2022-9-14,2024-9-14,2022-9-7,2022-9-13,2022-9-14
REQ22SUB00666,APTRINDO,0000001690279709,CA4000494,L9265UC,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00667,APTRINDO,0000001690083213,CA4000495,L9464UP,PT SURYA BUANA SENTOSA,2022-9-8,2024-9-8,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00668,APTRINDO,0000001807943197,CA4000522,L9937UO,PT SURYA BUANA SENTOSA,2022-9-9,2024-9-9,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00669,APTRINDO,0000001809175229,CA4000524,L9793UG,PT SURYA BUANA SENTOSA,2022-9-9,2024-9-9,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00670,APTRINDO,0000001807889453,CA4000525,L9903UP,PT SURYA BUANA SENTOSA,2022-9-9,2024-9-9,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00671,APTRINDO,0000001809449197,CA4000526,L9591UX,PT SURYA BUANA SENTOSA,2022-9-9,2024-9-9,2022-9-7,2022-9-7,2022-9-8
REQ22SUB00672,APTRINDO,0000001809109677,CA4000496,L8862UL,PT MEGA SAMUDRA TAMA,2022-9-15,2024-9-15,2022-9-7,2022-9-8,2022-9-8
REQ22SUB00673,APTRINDO,0000001808414109,CA4000497,L9345UI,PT MEGA SAMUDRA TAMA,2022-9-15,2024-9-15,2022-9-7,2022-9-8,2022-9-8
REQ22SUB00674,APTRINDO,,CA4001651,L8528UV,PT MEGA SAMUDRA TAMA,,,2022-9-7,2022-9-20,2022-9-21
REQ22SUB00675,APTRINDO,,,L9445UI,PT MEGA SAMUDRA TAMA,,,2022-9-7,2022-9-8,
REQ22SUB00676,APTRINDO,0000001705419101,CA4001174,L8661UM,PT MEGA SAMUDRA TAMA,2022-9-20,2024-9-20,2022-9-7,2022-9-15,2022-9-15
REQ22SUB00677,APTRINDO,0000001809225133,CA4000501,L8974UN,PT MEGA SAMUDRA TAMA,2022-9-15,2024-9-15,2022-9-7,2022-9-8,2022-9-8
REQ22SUB00678,APTRINDO,,,L8972UN,PT MEGA SAMUDRA TAMA,,,2022-9-7,2022-9-8,
REQ22SUB00679,APTRINDO,0000001809626669,CA4000502,L9523UN,PT MEGA SAMUDRA TAMA,2022-9-15,2024-9-15,2022-9-7,2022-9-8,2022-9-8
REQ22SUB00680,APTRINDO,0000001809569581,CA4000500,L8171UP,PT MEGA SAMUDRA TAMA,2022-9-15,2024-9-15,2022-9-7,2022-9-8,2022-9-8
REQ22SUB00681,APTRINDO,0000001809143325,CA4000504,L9975UY,PT MEGA SAMUDRA TAMA,2022-9-15,2024-9-15,2022-9-7,2022-9-8,2022-9-8
